"Name","Estado","Encargado","Criticidad","Descripcion","Inicio previsto","Previsto","Final","Duracion","Retraso","Soporte"
"TC04.01.02 Error por empleado no encontrado.","Listo","David Pilaguano","URGENTE","Comprueba que el sistema muestre un error cuando se intenta eliminar un empleado que no existe.","2026-07-03","2026-07-04","2026-07-04","2 días","0 días","Prueba unitaria JUnit - REQ004"
"TC04.01.03 Validar eliminación del usuario asociado.","Listo","Ariel Llumiquinga","URGENTE","Valida que, al eliminar un empleado, también se elimine o invalide el usuario asociado para evitar accesos posteriores al sistema.","2026-07-03","2026-07-04","2026-07-04","2 días","0 días","Prueba unitaria JUnit - REQ004"
"TC05.01.01 Éxito con usuario y contraseña válidos.","Listo","Ariel Llumiquinga","URGENTE","Verifica que un usuario pueda iniciar sesión correctamente cuando ingresa un nombre de usuario y contraseña válidos.","2026-07-03","2026-07-04","2026-07-04","2 días","0 días","Prueba unitaria JUnit - REQ005"
"TC05.01.02 Error por credenciales incorrectas.","Listo","David Pilaguano","IMPORTANTE","Comprueba que el sistema rechace el inicio de sesión cuando las credenciales ingresadas son incorrectas.","2026-07-03","2026-07-04","2026-07-04","2 días","0 días","Prueba unitaria JUnit - REQ005"
"TC05.01.03 Bloqueo de cuenta tras tres intentos fallidos.","Listo","Danna Andrade","IMPORTANTE","Valida que el sistema bloquee la cuenta después de tres intentos fallidos de inicio de sesión.","2026-07-03","2026-07-04","2026-07-04","2 días","0 días","Prueba unitaria JUnit - REQ005"
"TC05.01.04 Redirección a cambio de contraseña por primer acceso.","Listo","Ariel Llumiquinga","URGENTE","Verifica que el sistema redirija al usuario al cambio de contraseña cuando inicia sesión por primera vez con credenciales temporales.","2026-07-03","2026-07-04","2026-07-04","2 días","0 días","Prueba unitaria JUnit - REQ005"
"TC06.01.01 Éxito con contraseña actual correcta y nueva contraseña válida.","Listo","David Pilaguano","URGENTE","Comprueba que el usuario pueda cambiar su contraseña cuando ingresa correctamente la contraseña actual y una nueva contraseña válida.","2026-07-05","2026-07-06","2026-07-06","2 días","0 días","Prueba unitaria JUnit - REQ006"
"TC06.01.02 Error por contraseña actual incorrecta.","Listo","Danna Andrade","URGENTE","Valida que el sistema rechace el cambio de contraseña cuando la contraseña actual ingresada no coincide con la registrada.","2026-07-05","2026-07-06","2026-07-06","2 días","0 días","Prueba unitaria JUnit - REQ006"
"TC06.01.03 Error por confirmación diferente.","Listo","Ariel Llumiquinga","IMPORTANTE","Comprueba que el sistema no permita cambiar la contraseña si la nueva contraseña y la confirmación son diferentes.","2026-07-05","2026-07-06","2026-07-06","2 días","0 días","Prueba unitaria JUnit - REQ006"
"TC06.01.04 Error por incumplir política de seguridad.","Listo","David Pilaguano","URGENTE","Verifica que el sistema rechace una nueva contraseña que no cumpla la política de seguridad definida.","2026-07-05","2026-07-06","2026-07-06","2 días","0 días","Prueba unitaria JUnit - REQ006"
"TC07.01.01 Éxito con usuario y correo registrados.","Listo","Danna Andrade","IMPORTANTE","Valida que el usuario pueda recuperar su contraseña cuando ingresa un nombre de usuario y correo registrados correctamente.","2026-07-05","2026-07-06","2026-07-06","2 días","0 días","Prueba unitaria JUnit - REQ007"
"TC07.01.02 Error por usuario no registrado.","Listo","David Pilaguano","URGENTE","Comprueba que el sistema muestre un error cuando se intenta recuperar la contraseña con un usuario no registrado.","2026-07-05","2026-07-06","2026-07-06","2 días","0 días","Prueba unitaria JUnit - REQ007"
"TC07.01.03 Error por correo no asociado al usuario.","Listo","Ariel Llumiquinga","URGENTE","Verifica que el sistema rechace la recuperación cuando el correo ingresado no corresponde al usuario registrado.","2026-07-05","2026-07-06","2026-07-06","2 días","0 días","Prueba unitaria JUnit - REQ007"
"TC07.01.04 Error por nueva contraseña inválida.","Listo","Danna Andrade","URGENTE","Comprueba que el sistema no permita restablecer la contraseña si la nueva contraseña no cumple la política de seguridad.","2026-07-05","2026-07-06","2026-07-06","2 días","0 días","Prueba unitaria JUnit - REQ007"
"TC08.01.01 Éxito con período válido y datos existentes.","Listo","Ariel Llumiquinga","URGENTE","Verifica que el sistema genere correctamente un reporte analítico cuando se ingresa un período válido y existen datos registrados.","2026-07-06","2026-07-09","2026-07-09","4 días","0 días","Prueba unitaria JUnit - REQ008"
"TC08.01.02 Error por fecha final menor o igual a fecha inicial.","Listo","David Pilaguano","URGENTE","Valida que el sistema rechace la generación del reporte cuando la fecha final es menor o igual a la fecha inicial.","2026-07-06","2026-07-09","2026-07-09","4 días","0 días","Prueba unitaria JUnit - REQ008"
"TC08.01.03 Error cuando el período no contiene datos.","Listo","Danna Andrade","IMPORTANTE","Comprueba que el sistema informe adecuadamente cuando no existen datos registrados para el período seleccionado.","2026-07-06","2026-07-09","2026-07-09","4 días","0 días","Prueba unitaria JUnit - REQ008"
"TC08.01.04 Validar totales consolidados de empleados y accesos fallidos.","Listo","Ariel Llumiquinga","IMPORTANTE","Verifica que los totales del reporte coincidan con los datos consolidados de empleados creados, editados, eliminados y accesos fallidos.","2026-07-06","2026-07-09","2026-07-09","4 días","0 días","Prueba unitaria JUnit - REQ008"
"TC09.01.01 Éxito al listar todos los reportes existentes.","Listo","David Pilaguano","IMPORTANTE","Comprueba que el sistema permita listar todos los reportes analíticos generados previamente.","2026-07-06","2026-07-09","2026-07-09","4 días","0 días","Prueba unitaria JUnit - REQ009"
"TC09.01.02 Éxito al filtrar reportes por rango de fechas.","Listo","Danna Andrade","NORMAL","Verifica que el sistema permita filtrar los reportes históricos usando un rango de fechas válido.","2026-07-06","2026-07-09","2026-07-09","4 días","0 días","Prueba unitaria JUnit - REQ009"
"TC09.01.03 Error por rango de fechas inválido.","Listo","Ariel Llumiquinga","URGENTE","Valida que el sistema muestre un error cuando se consulta el historial con un rango de fechas inválido.","2026-07-06","2026-07-09","2026-07-09","4 días","0 días","Prueba unitaria JUnit - REQ009"
"TC09.01.04 Éxito al agregar observación a reporte existente.","Listo","David Pilaguano","IMPORTANTE","Comprueba que el sistema permita agregar una observación o anotación a un reporte existente sin modificar los datos base del reporte.","2026-07-06","2026-07-09","2026-07-09","4 días","0 días","Prueba unitaria JUnit - REQ009"
